#{"t_start": 1731331267.9739974, "env_id": "CartPole-v1"}
r,l,t
165.0,165,200.74383
164.0,164,201.0158
160.0,160,201.280712
153.0,153,201.529171
167.0,167,201.801224
192.0,192,202.113304
177.0,177,202.398776
153.0,153,202.645091
145.0,145,202.88017
184.0,184,203.181897
166.0,166,203.455848
150.0,150,203.703197
153.0,153,203.960236
151.0,151,204.206985
197.0,197,204.529757
187.0,187,204.838037
149.0,149,205.083603
152.0,152,205.334321
169.0,169,205.613271
150.0,150,205.85984
152.0,152,206.110843
201.0,201,206.444198
167.0,167,206.715952
160.0,160,206.975296
192.0,192,207.288248
169.0,169,207.564453
142.0,142,207.796531
151.0,151,208.044627
177.0,177,208.326731
154.0,154,208.573943
180.0,180,208.862793
182.0,182,209.156496
202.0,202,209.481441
180.0,180,209.767665
149.0,149,210.005356
155.0,155,210.253264
208.0,208,210.585345
213.0,213,210.924502
185.0,185,211.219217
159.0,159,211.474912
189.0,189,211.784693
163.0,163,212.049543
203.0,203,212.382673
217.0,217,212.739728
183.0,183,213.038996
174.0,174,213.317114
183.0,183,213.613306
182.0,182,213.905275
173.0,173,214.183875
186.0,186,214.483721
165.0,165,214.752239
220.0,220,215.108068
222.0,222,215.463372
207.0,207,215.798846
164.0,164,216.064875
268.0,268,216.495552
156.0,156,216.748034
191.0,191,217.056797
163.0,163,217.320445
169.0,169,217.600811
255.0,255,218.023672
177.0,177,218.314919
152.0,152,218.565042
206.0,206,218.900503
172.0,172,219.183059
222.0,222,219.54652
190.0,190,219.857475
159.0,159,220.114371
192.0,192,220.419829
159.0,159,220.671979
175.0,175,220.951771
196.0,196,221.26528
194.0,194,221.57044
194.0,194,221.876561
152.0,152,222.117846
141.0,141,222.340633
145.0,145,222.568315
175.0,175,222.848339
160.0,160,223.103914
136.0,136,223.320747
155.0,155,223.572222
159.0,159,223.827744
140.0,140,224.052238
153.0,153,224.294216
145.0,145,224.522388
139.0,139,224.745437
161.0,161,225.001605
141.0,141,225.222857
147.0,147,225.456405
175.0,175,225.729214
152.0,152,225.969096
146.0,146,226.198835
166.0,166,226.457369
166.0,166,226.716292
165.0,165,226.977494
157.0,157,227.22176
171.0,171,227.489758
160.0,160,227.739089
154.0,154,227.979868
169.0,169,228.246092
171.0,171,228.515397
156.0,156,228.759363
166.0,166,229.020278
168.0,168,229.284991
177.0,177,229.565079
160.0,160,229.819656
160.0,160,230.073478
193.0,193,230.376474
160.0,160,230.625693
208.0,208,230.954406
166.0,166,231.220937
202.0,202,231.53994
193.0,193,231.854802
150.0,150,232.0908
196.0,196,232.395696
188.0,188,232.684501
185.0,185,232.967856
202.0,202,233.275505
202.0,202,233.583716
216.0,216,233.91731
169.0,169,234.182634
165.0,165,234.438972
177.0,177,234.709482
206.0,206,235.026452
204.0,204,235.337462
175.0,175,235.602315
220.0,220,235.937521
171.0,171,236.196679
201.0,201,236.505763
222.0,222,236.848323
168.0,168,237.10332
170.0,170,237.364016
165.0,165,237.614175
181.0,181,237.898027
226.0,226,238.244398
215.0,215,238.578139
178.0,178,238.853975
184.0,184,239.141603
180.0,180,239.42202
163.0,163,239.68022
179.0,179,239.961445
185.0,185,240.251562
169.0,169,240.519194
212.0,212,240.851066
184.0,184,241.144174
207.0,207,241.467946
205.0,205,241.7842
184.0,184,242.064478
173.0,173,242.330065
204.0,204,242.649234
211.0,211,242.980558
209.0,209,243.305938
156.0,156,243.551752
169.0,169,243.826698
227.0,227,244.174497
185.0,185,244.460164
177.0,177,244.739755
264.0,264,245.15587
241.0,241,245.530801
173.0,173,245.798979
212.0,212,246.122765
190.0,190,246.414348
203.0,203,246.725642
211.0,211,247.049762
155.0,155,247.28845
181.0,181,247.565039
184.0,184,247.847315
225.0,225,248.193607
186.0,186,248.478974
239.0,239,248.844547
181.0,181,249.118861
279.0,279,249.548837
212.0,212,249.875864
242.0,242,250.249006
216.0,216,250.582356
306.0,306,251.056319
237.0,237,251.422874
187.0,187,251.716438
250.0,250,252.101305
234.0,234,252.463671
191.0,191,252.759857
230.0,230,253.114977
500.0,500,253.883422
202.0,202,254.195043
268.0,268,254.606578
289.0,289,255.046382
186.0,186,255.328644
500.0,500,256.092174
304.0,304,256.555588
280.0,280,256.983065
456.0,456,257.667653
500.0,500,258.425185
388.0,388,259.013441
500.0,500,259.768846
500.0,500,260.525573
484.0,484,261.258382
292.0,292,261.697727
500.0,500,262.45192
495.0,495,263.200818
500.0,500,263.951669
255.0,255,264.334957
451.0,451,265.013834
500.0,500,265.771078
500.0,500,266.530446
500.0,500,267.283806
500.0,500,268.036891
319.0,319,268.515481
500.0,500,269.264913
500.0,500,270.014866
500.0,500,270.772216
500.0,500,271.524882
500.0,500,272.275808
500.0,500,273.023778
500.0,500,273.772408
500.0,500,274.527005
500.0,500,275.289848
500.0,500,276.037485
500.0,500,276.78317
500.0,500,277.532822
500.0,500,278.284475
500.0,500,279.05545
500.0,500,279.865686
500.0,500,280.635763
500.0,500,281.51738
500.0,500,282.408987
500.0,500,283.29729
500.0,500,284.075585
500.0,500,284.847941
500.0,500,285.631144
500.0,500,286.443079
500.0,500,287.230672
500.0,500,288.02393
500.0,500,288.809157
500.0,500,289.617853
500.0,500,290.408232
500.0,500,291.199013
