Mon Nov 11 17:34:01 2024    output.prof

         19163925 function calls (17691946 primitive calls) in 45.691 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.122    0.122 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/distributed/fsdp/__init__.py:1(<module>)
      223    0.002    0.000    0.121    0.001 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/stable_baselines3/common/off_policy_algorithm.py:409(_dump_logs)
        1    0.000    0.000    0.112    0.112 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/distributed/fsdp/_flat_param.py:1(<module>)
        1    0.000    0.000    0.110    0.110 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/matplotlib/pyplot.py:567(show)
        1    0.000    0.000    0.110    0.110 /home/rikka/Applications/pycharm-2024.2.4/plugins/python-ce/helpers/pycharm_matplotlib_backend/backend_interagg.py:35(__call__)
        1    0.000    0.000    0.110    0.110 /home/rikka/Applications/pycharm-2024.2.4/plugins/python-ce/helpers/pycharm_matplotlib_backend/backend_interagg.py:141(show)
        1    0.000    0.000    0.110    0.110 /home/rikka/Applications/pycharm-2024.2.4/plugins/python-ce/helpers/pycharm_matplotlib_backend/backend_interagg.py:81(show)
      223    0.001    0.000    0.107    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/stable_baselines3/common/logger.py:530(dump)
        1    0.000    0.000    0.106    0.106 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/distributed/fsdp/_fsdp_extensions.py:1(<module>)
   173776    0.090    0.000    0.105    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/utils/_pytree.py:654(_is_namedtuple_instance)
    24830    0.092    0.000    0.105    0.000 /home/rikka/anaconda3/envs/RL/lib/python3.10/site-packages/torch/_dynamo/eval_frame.py:101(_maybe_set_eval_frame)
